K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
0	2	3891664	0.02	1.346	0.068	0.652		
1	2	3894920	0.064	24.839	0.077	24.12	3256	3218.00
2	2	3895692	0.054	12.785	0.075	12.095	772	732.00
3	2	3896348	0.041	9.165	0.07	8.442	656	713.67
4	2	3900504	0.074	6.947	0.072	6.26	4156	4094.67
5	2	3901626	0.065	5.87	0.078	5.18	1122	1088.67
6	2	3902219	0.031	5.217	0.064	4.512	593	632.67
7	2	3903656	0.074	24.695	0.087	23.979	1437	1503.33
8	2	3904229	0.052	7.175	0.073	6.46	573	632.67
9	2	3936468	0.301	9.269	0.12	8.52	32239	32290.67
10	2	3937271	0.058	3.734	0.063	3.045	803	870.67
11	2	3938122	0.036	24.446	0.072	23.752	851	749.00
12	2	3938790	0.054	3.116	0.067	2.454	668	629.67
13	2	3942124	0.067	26.458	0.073	25.695	3334	3252.33
14	2	3943409	0.056	12.965	0.063	12.221	1285	1274.33
15	2	3944282	0.047	3.014	0.068	2.303	873	804.33
16	2	3945381	0.04	7.001	0.058	6.327	1099	902.00
17	2	3946425	0.053	24.398	0.063	23.679	1044	1014.33
18	2	3947030	0.056	5.326	0.072	4.595	605	579.00
19	2	3956096	0.124	24.297	0.099	23.568	9066	8999.67
20	2	3956648	0.051	2.385	0.067	1.71	552	553.00
21	2	3957647	0.041	9.207	0.077	8.48	999	1023.67
22	2	3958641	0.05	12.734	0.07	12.036	994	882.33
23	2	3959271	0.044	24.098	0.07	23.405	630	687.00
24	2	3960649	0.101	3.327	0.071	2.609	1378	1289.67
25	2	3963882	0.068	2.195	0.07	1.507	3233	3220.67
26	2	3964510	0.031	12.892	0.07	12.162	628	682.67
27	2	3965204	0.056	9.006	0.07	8.313	694	725.00
28	2	3966086	0.041	7.118	0.077	6.416	882	941.67
29	2	3971796	0.119	24.823	0.082	24.094	5710	5762.00
30	2	3972548	0.043	2.425	0.098	1.607	752	677.00
31	2	3973983	0.058	26.699	0.083	25.94	1435	1471.33
32	2	3974516	0.038	8.527	0.067	7.69	533	640.33
33	2	3975529	0.042	9.148	0.07	8.443	1013	1026.67
34	2	4099060	1.26	12.96	0.268	12.072	123531	123649.67
35	2	4099730	0.045	5.909	0.07	5.205	670	725.00
36	2	4100476	0.032	3.307	0.079	2.612	746	615.33
37	2	4103712	0.065	24.3	0.077	23.599	3236	3291.33
38	2	4104402	0.054	13.063	0.072	12.395	690	649.33
39	2	4107083	0.074	9.114	0.069	8.419	2681	2661.00
40	2	4107804	0.037	2.465	0.059	1.772	721	810.33
41	2	4108797	0.063	24.36	0.081	23.635	993	1087.00
42	2	4109338	0.053	5.322	0.08	4.636	541	722.67
43	2	4110751	0.049	24.346	0.078	23.63	1413	1451.67
44	2	4112114	0.066	7.23	0.075	6.52	1363	1312.67
45	2	4113102	0.058	2.916	0.073	2.185	988	987.67
46	2	4113894	0.049	12.684	0.065	11.971	792	827.00
47	2	4114563	0.045	24.324	0.062	23.636	669	695.67
48	2	4115170	0.043	3.189	0.059	2.526	607	560.67
49	2	4134175	0.225	24.249	0.102	23.543	19005	18953.67
50	2	4134762	0.042	1.742	0.07	1.055	587	551.33
51	2	4135507	0.035	9.016	0.064	8.354	745	721.00
52	2	4136267	0.047	7.107	0.062	6.412	760	749.00
53	2	4137212	0.041	24.346	0.064	23.642	945	1011.67
54	2	4138492	0.057	5.15	0.066	4.442	1280	1257.00
55	2	4139971	0.051	6.045	0.071	5.321	1479	1488.00
56	2	4140701	0.042	6.986	0.072	6.288	730	656.33
57	2	4141639	0.041	8.994	0.076	8.286	938	1022.67
58	2	4142400	0.05	12.894	0.066	12.168	761	775.00
59	2	4158014	0.169	25.535	0.101	24.736	15614	15621.67
60	2	4158698	0.041	2.032	0.068	1.035	684	581.33
61	2	4161920	0.075	24.665	0.096	23.893	3222	3252.67
62	2	4162803	0.044	13.025	0.068	12.384	883	677.33
63	2	4163488	0.051	9.327	0.074	8.601	685	818.67
64	2	4167647	0.074	7.259	0.081	6.542	4159	4102.00
65	2	4168591	0.053	5.931	0.068	5.26	944	1078.00
66	2	4169294	0.032	5.118	0.073	4.431	703	726.00
67	2	4170772	0.077	24.361	0.078	23.663	1478	1510.67
68	2	4171598	0.045	7.163	0.076	6.435	826	794.00
69	2	4177317	0.091	9.412	0.086	8.667	5719	5762.67
70	2	4178177	0.049	3.673	0.063	2.981	860	879.00
71	2	4178933	0.035	24.481	0.076	23.687	756	733.67
72	2	4179820	0.045	3.184	0.069	2.491	887	683.67
73	2	4183153	0.067	24.753	0.076	24.026	3333	3258.67
74	2	4184526	0.06	13.07	0.074	12.377	1373	1348.33
75	2	4185213	0.045	1.596	0.071	0.91	687	691.67
76	2	4185888	0.036	7.116	0.083	6.41	675	818.00
77	2	4186840	0.041	24.515	0.075	23.803	952	1039.00
78	2	4187705	0.044	5.16	0.062	4.486	865	717.67
79	2	4196771	0.16	24.164	0.08	23.468	9066	9000.00
80	2	4197296	0.04	2.479	0.066	1.764	525	573.67
81	2	4198322	0.04	8.907	0.077	8.215	1026	1086.67
82	2	4199126	0.057	14.831	0.098	14.01	804	795.33
83	2	4199860	0.035	24.232	0.082	23.53	734	651.67
84	2	4207242	0.116	3.259	0.084	2.546	7382	7327.67
85	2	4210470	0.068	5.808	0.079	5.147	3228	3219.67
86	2	4211180	0.032	13.003	0.056	12.302	710	644.00
87	2	4211984	0.06	9.003	0.065	8.28	804	706.67
88	2	4212662	0.037	7.093	0.063	6.394	678	775.67
89	2	4218377	0.111	24.291	0.077	23.539	5715	5777.67
90	2	4219115	0.044	2.089	0.072	1.42	738	602.67
91	2	4220613	0.048	24.342	0.068	23.663	1498	1498.67
92	2	4221260	0.057	7.22	0.065	6.512	647	683.33
93	2	4222211	0.049	9	0.076	8.273	951	1050.00
94	2	4226363	0.097	12.903	0.076	12.115	4152	4095.00
95	2	4226942	0.045	5.858	0.064	5.188	579	652.33
96	2	4227467	0.029	3.276	0.065	2.597	525	641.00
97	2	4231024	0.071	24.477	0.089	23.749	3557	3318.67
98	2	4231705	0.055	12.828	0.073	12.101	681	583.00
99	2	4234368	0.071	8.863	0.068	8.152	2663	2619.33
100	2	4235112	0.038	1.806	0.095	1.037	744	758.00
101	2	4236132	0.042	24.677	0.081	23.971	1020	1056.00
102	2	4236741	0.054	5.202	0.069	4.502	609	654.67
103	2	4238290	0.049	24.63	0.071	23.907	1549	1525.00
104	2	4239607	0.058	6.978	0.065	6.274	1317	1317.00
105	2	4240479	0.04	2.926	0.074	2.183	872	986.33
106	2	4241348	0.063	13.019	0.079	12.334	869	882.67
107	2	4241859	0.045	24.685	0.067	24.015	511	652.67
108	2	4242356	0.052	3.255	0.075	2.551	497	532.33
109	2	4341078	0.882	24.62	0.231	23.735	98722	98865.00
110	2	4341558	0.045	3.675	0.072	2.959	480	651.67
111	2	4342253	0.035	9.167	0.08	8.435	695	705.33
112	2	4343252	0.063	7.088	0.072	6.402	999	932.33
113	2	4344211	0.043	24.624	0.079	23.85	959	1043.33
114	2	4345660	0.072	5.2	0.065	4.514	1449	1311.33
115	2	4347104	0.049	6.075	0.076	5.388	1444	1448.67
116	2	4347685	0.041	7.082	0.059	6.408	581	572.33
117	2	4348601	0.041	9.239	0.065	8.546	916	948.33
118	2	4349672	0.053	12.833	0.062	12.17	1071	964.67
119	2	4352421	0.084	27.544	0.085	26.709	2749	2660.33
120	2	4352924	0.034	1.879	0.08	1.113	503	563.67
121	2	4356226	0.077	27.779	0.081	26.96	3302	3262.00
122	2	4356857	0.046	13.541	0.063	12.787	631	621.67
123	2	4357469	0.046	8.933	0.065	8.251	612	615.00
124	2	4361635	0.075	7.314	0.102	6.553	4166	4101.67
125	2	4362601	0.061	1.464	0.067	0.767	966	972.33
126	2	4363218	0.031	5.117	0.073	4.44	617	637.33
127	2	4364874	0.049	25.753	0.069	25	1656	1579.67
128	2	4365563	0.03	6.415	0.061	5.8	689	591.33
129	2	4371275	0.079	8.178	0.078	7.529	5712	5764.00
130	2	4371989	0.037	3.3	0.07	2.677	714	790.67
131	2	4372731	0.032	25.291	0.076	24.582	742	710.67
132	2	4373332	0.039	3.887	0.085	3.07	601	559.33
133	2	4376654	0.083	29.62	0.094	28.755	3322	3239.33
134	2	4384036	0.245	18.755	0.135	17.661	7382	7327.67
135	2	4384603	0.042	3.483	0.076	2.642	567	623.67
136	2	4385509	0.047	8.332	0.09	7.483	906	856.33
137	2	4386440	0.045	27.815	0.071	26.98	931	1071.00
138	2	4387134	0.035	5.522	0.078	4.781	694	678.67
139	2	4396200	0.128	25.922	0.09	25.167	9066	9002.67
140	2	4396791	0.053	2.584	0.062	1.844	591	667.33
141	2	4397707	0.042	8.813	0.063	8.144	916	1055.67
142	2	4398467	0.057	11.743	0.071	11.061	760	879.00
143	2	4399185	0.042	22.24	0.072	21.58	718	707.33
144	2	4400386	0.064	3.004	0.061	2.364	1201	1263.33
145	2	4403612	0.072	5.628	0.069	4.978	3226	3215.00
146	2	4404279	0.029	11.945	0.079	11.333	667	621.33
147	2	4404963	0.041	8.124	0.062	7.514	684	684.67
148	2	4405759	0.062	6.728	0.066	6.095	796	788.67
149	2	4411471	0.089	23.059	0.071	22.403	5712	5784.00
150	2	4412081	0.052	1.335	0.063	0.683	610	560.67
151	2	4413569	0.044	22.996	0.066	22.329	1488	1457.00
152	2	4414194	0.043	9.024	0.092	8.121	625	664.33
153	2	4415189	0.053	10.867	0.087	10.027	995	1067.33
154	2	4419353	0.089	14.573	0.086	13.785	4164	4105.33
155	2	4420131	0.051	6.364	0.067	5.629	778	713.67
156	2	4420842	0.035	3.475	0.083	2.731	711	756.67
157	2	4424088	0.09	26.087	0.074	25.33	3246	3213.33
158	2	4424560	0.032	13.498	0.061	12.778	472	587.00
159	2	4506609	0.756	9.479	0.207	8.609	82049	82264.33
160	2	4507348	0.04	2.532	0.075	1.811	739	785.33
161	2	4508264	0.064	25.62	0.081	24.88	916	1021.33
162	2	4508821	0.033	5.341	0.073	4.633	557	627.00
163	2	4510293	0.052	24.893	0.064	24.167	1472	1474.00
164	2	4511656	0.048	6.404	0.059	5.769	1363	1369.00
165	2	4512797	0.038	2.598	0.053	1.976	1141	1151.67
166	2	4513619	0.035	12.891	0.063	12.198	822	808.00
167	2	4514498	0.056	22.538	0.056	21.899	879	725.33
168	2	4515310	0.039	3.007	0.071	2.354	812	684.33
169	2	4534315	0.18	22.288	0.088	21.617	19005	18953.67
170	2	4535007	0.039	3.2	0.057	2.6	692	645.00
171	2	4535810	0.032	8.758	0.066	8.081	803	779.33
172	2	4536485	0.05	7.877	0.09	7.11	675	815.00
173	2	4537456	0.047	25.461	0.081	24.748	971	1037.00
174	2	4538796	0.045	5.781	0.087	5.024	1340	1374.00
175	2	4540258	0.055	2.541	0.079	1.755	1462	1475.33
176	2	4540853	0.036	8.058	0.069	7.307	595	577.33
177	2	4541781	0.058	9.283	0.072	8.559	928	1110.33
178	2	4542521	0.052	14.727	0.077	13.978	740	745.00
179	2	4545320	0.071	25.814	0.069	25.108	2799	2686.33
180	2	4545888	0.035	1.962	0.078	1.154	568	557.00
181	2	4549332	0.08	28.716	0.084	27.839	3444	3279.00
182	2	4550095	0.055	14.047	0.088	13.262	763	632.67
183	2	4550818	0.035	9.691	0.073	8.96	723	683.67
184	2	4574666	0.282	7.538	0.144	6.756	23848	23900.67
185	2	4575635	0.041	6.561	0.077	5.829	969	1118.00
186	2	4576485	0.053	5.413	0.076	4.677	850	710.67
187	2	4577977	0.061	28.131	0.103	27.339	1492	1465.00
188	2	4578607	0.036	7.811	0.078	7.025	630	638.33
189	2	4584324	0.087	10.725	0.1	9.895	5717	5769.00
190	2	4585157	0.066	3.843	0.074	3.134	833	884.33
191	2	4585699	0.034	28.318	0.076	27.503	542	706.67
192	2	4586285	0.035	3.989	0.091	3.154	586	609.33
193	2	4589552	0.066	29.472	0.102	28.595	3267	3229.33
194	2	4590901	0.053	15.337	0.08	14.48	1349	1321.00
195	2	4591433	0.04	3.489	0.082	2.635	532	588.33
196	2	4592221	0.046	8.524	0.086	7.69	788	782.67
197	2	4593174	0.043	29.032	0.084	28.192	953	1026.00
198	2	4593805	0.04	6.156	0.076	5.269	631	632.00
199	2	4602871	0.144	26.321	0.085	25.581	9066	8999.33
200	2	4603441	0.028	1.407	0.056	0.791	570	570.33
201	2	4604393	0.037	8.315	0.069	7.662	952	1050.33
202	2	4605270	0.035	11.631	0.053	11.005	877	924.67
203	2	4606024	0.044	23.726	0.061	23.072	754	665.33
204	2	4607253	0.046	2.912	0.059	2.301	1229	1243.67
205	2	4610550	0.061	5.739	0.075	5.057	3297	3229.00
206	2	4611109	0.032	14.666	0.08	13.843	559	575.67
207	2	4611819	0.044	11.153	0.078	10.298	710	671.00
208	2	4612467	0.038	9.049	0.08	8.16	648	870.00
209	2	4644706	0.34	26.617	0.129	25.759	32239	32290.67
210	2	4645316	0.033	2.136	0.07	1.423	610	583.00
211	2	4646776	0.052	27.329	0.078	26.559	1460	1497.67
212	2	4647471	0.068	8.781	0.081	7.898	695	633.00
213	2	4648386	0.054	10.403	0.088	9.602	915	1051.33
